"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Autauga County, AL","01001",1946,179196,1086.0,1037.7,1134.2,24.6
,"Baldwin County, AL","01003",8608,739236,1164.4,1139.8,1189.0,12.6
,"Barbour County, AL","01005",1016,74255,1368.3,1284.1,1452.4,42.9
,"Bibb County, AL","01007",899,66350,1354.9,1266.4,1443.5,45.2
,"Blount County, AL","01009",2434,178369,1364.6,1310.4,1418.8,27.7
,"Bullock County, AL","01011",421,30419,1384.0,1251.8,1516.2,67.5
,"Butler County, AL","01013",900,55916,1609.6,1504.4,1714.7,53.7
,"Calhoun County, AL","01015",5282,348189,1517.0,1476.1,1557.9,20.9
,"Chambers County, AL","01017",1570,102708,1528.6,1453.0,1604.2,38.6
,"Cherokee County, AL","01019",1283,75964,1689.0,1596.5,1781.4,47.2
,"Chilton County, AL","01021",1838,137589,1335.9,1274.8,1396.9,31.2
,"Choctaw County, AL","01023",611,37224,1641.4,1511.3,1771.6,66.4
,"Clarke County, AL","01025",1101,67612,1628.4,1532.2,1724.6,49.1
,"Clay County, AL","01027",659,42499,1550.6,1432.2,1669.0,60.4
,"Cleburne County, AL","01029",729,46088,1581.8,1466.9,1696.6,58.6
,"Coffee County, AL","01031",1946,164622,1182.1,1129.6,1234.6,26.8
,"Colbert County, AL","01033",2508,173868,1442.5,1386.0,1498.9,28.8
,"Conecuh County, AL","01035",647,33708,1919.4,1771.5,2067.3,75.5
,"Coosa County, AL","01037",514,30884,1664.3,1520.4,1808.2,73.4
,"Covington County, AL","01039",1985,113078,1755.4,1678.2,1832.7,39.4
,"Crenshaw County, AL","01041",669,39209,1706.2,1576.9,1835.5,66.0
,"Cullman County, AL","01043",3739,272177,1373.7,1329.7,1417.8,22.5
,"Dale County, AL","01045",1956,148757,1314.9,1256.6,1373.2,29.7
,"Dallas County, AL","01047",1737,110551,1571.2,1497.3,1645.1,37.7
,"DeKalb County, AL","01049",2943,216380,1360.1,1311.0,1409.2,25.1
,"Elmore County, AL","01051",3009,269308,1117.3,1077.4,1157.2,20.4
,"Escambia County, AL","01053",1747,109923,1589.3,1514.8,1663.8,38.0
,"Etowah County, AL","01055",5018,309491,1621.4,1576.5,1666.2,22.9
,"Fayette County, AL","01057",841,48233,1743.6,1625.8,1861.5,60.1
