CountyFIPS,StateDesc,StateAbbr,CountyName,scoring_referent,stroke_belt,cle8_point,cle8_lower,cle8_upper,cle8_range,cvh_cat_point,cvh_cat_lower,cvh_cat_upper,cvh_cat_stable,behavior_point,behavior_lower,behavior_upper,behavior_range,factor_point,factor_lower,factor_upper,factor_range,lpa_point,lpa_lower,lpa_upper,lpa_range,lpa_ci_width_pp,smoking_point,smoking_lower,smoking_upper,smoking_range,smoking_ci_width_pp,sleep_point,sleep_lower,sleep_upper,sleep_range,sleep_ci_width_pp,diet_point,diet_lower,diet_upper,diet_range,diet_ci_width_pp,bp_point,bp_lower,bp_upper,bp_range,bp_ci_width_pp,chol_point,chol_lower,chol_upper,chol_range,chol_ci_width_pp,glucose_point,glucose_lower,glucose_upper,glucose_range,glucose_ci_width_pp,obesity_point,obesity_lower,obesity_upper,obesity_range,obesity_ci_width_pp
06001,California,CA,Alameda,within_state,none,81.25,73.75,88.75,15,High,Moderate,High,FALSE,80,72.5,87.5,15,82.5,75,90,15,90,80,90,10,5.400000000000002,100,100,100,0,2.6999999999999993,60,40,90,50,8.399999999999999,70,70,70,0,3,90,80,90,10,6.399999999999999,60,40,90,50,7.300000000000001,80,80,80,0,2.5,100,100,100,0,6.699999999999999
06003,California,CA,Alpine,within_state,none,77.5,70,78.75,8.75,Moderate,Moderate,Moderate,TRUE,75,77.5,72.5,5,80,62.5,85,22.5,90,90,90,0,6.700000000000001,60,60,60,0,3.700000000000001,60,70,50,20,13.999999999999996,90,90,90,0,2.700000000000001,70,40,90,50,3.8999999999999986,100,40,100,60,4.5,90,90,90,0,2.5999999999999996,60,80,60,20,14.700000000000003
06005,California,CA,Amador,within_state,none,78.75,81.25,72.5,8.75,Moderate,High,Moderate,FALSE,75,77.5,70,7.5,82.5,85,75,10,90,90,80,10,6.699999999999999,60,60,60,0,3.5,70,70,60,10,12.900000000000002,80,90,80,10,2.9000000000000004,70,80,70,10,7.699999999999999,80,80,70,10,9.2,90,90,80,10,2.7,90,90,80,10,13.000000000000004
06007,California,CA,Butte,within_state,none,56.25,58.75,57.5,1.25,Moderate,Moderate,Moderate,TRUE,60,62.5,60,2.5,52.5,55,55,0,50,50,50,0,7.599999999999998,40,40,40,0,3.799999999999999,80,90,80,10,12.800000000000004,70,70,70,0,3,40,40,50,10,7.599999999999998,60,60,60,0,8.899999999999999,60,70,60,10,2.9000000000000004,50,50,50,0,13.599999999999998
06009,California,CA,Calaveras,within_state,none,61.25,66.25,61.25,5,Moderate,Moderate,Moderate,TRUE,57.5,57.5,57.5,0,65,75,65,10,70,70,70,0,6.900000000000002,40,40,40,0,3.799999999999999,60,60,60,0,12.900000000000002,60,60,60,0,3.3000000000000007,50,60,60,0,7.199999999999999,70,80,60,20,9.499999999999996,70,80,70,10,2.700000000000001,70,80,70,10,13.399999999999999
06011,California,CA,Colusa,within_state,none,35,41.25,31.25,10,Low,Low,Low,TRUE,35,37.5,32.5,5,35,45,30,15,20,20,20,0,8.8,40,40,40,0,4,70,80,60,20,13.5,10,10,10,0,4.700000000000003,40,50,40,10,7.899999999999999,30,50,20,30,9.5,20,30,20,10,3.200000000000001,50,50,40,10,14.700000000000003
06013,California,CA,Contra Costa,within_state,none,81.25,77.5,86.25,8.75,High,Moderate,High,FALSE,75,75,82.5,7.5,87.5,80,90,10,90,90,90,0,5.699999999999999,90,90,90,0,2.8000000000000007,40,40,70,30,9.399999999999999,80,80,80,0,2.9000000000000004,100,90,100,10,6.199999999999999,100,100,100,0,7.300000000000001,70,70,70,0,2.6999999999999993,80,60,90,30,9.2
06015,California,CA,Del Norte,within_state,none,26.25,31.25,21.25,10,Low,Low,Low,TRUE,25,30,22.5,7.5,27.5,32.5,20,12.5,30,30,20,10,9,10,10,10,0,4.800000000000001,10,30,10,20,15.099999999999998,50,50,50,0,3.6999999999999993,20,20,10,10,8.300000000000004,30,50,30,20,9.5,30,30,30,0,3.200000000000001,30,30,10,20,16
06017,California,CA,El Dorado,within_state,none,91.25,92.5,87.5,5,High,High,High,TRUE,92.5,92.5,90,2.5,90,92.5,85,7.5,100,100,100,0,5.799999999999999,90,90,90,0,3.1000000000000014,80,80,70,10,12.199999999999996,100,100,100,0,2.5999999999999996,90,100,90,10,7.399999999999999,70,70,60,10,9.000000000000004,100,100,100,0,2.3999999999999995,100,100,90,10,11.5
06019,California,CA,Fresno,within_state,none,25,22.5,28.75,6.25,Low,Low,Low,TRUE,30,27.5,37.5,10,20,17.5,20,2.5,30,30,30,0,7.299999999999997,40,40,50,10,3.6000000000000014,40,30,60,30,10.2,10,10,10,0,4.699999999999999,10,10,10,0,7.600000000000001,40,40,40,0,8.5,20,10,20,10,3.299999999999999,10,10,10,0,11
