"Notes","County","County Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Autauga County, AL","01001",565,179196,315.3,289.3,341.3,13.3
,"Baldwin County, AL","01003",2348,739236,317.6,304.8,330.5,6.6
,"Barbour County, AL","01005",336,74255,452.5,404.1,500.9,24.7
,"Bibb County, AL","01007",292,66350,440.1,389.6,490.6,25.8
,"Blount County, AL","01009",735,178369,412.1,382.3,441.9,15.2
,"Bullock County, AL","01011",118,30419,387.9,317.9,457.9,35.7
,"Butler County, AL","01013",281,55916,502.5,443.8,561.3,30.0
,"Calhoun County, AL","01015",1745,348189,501.2,477.6,524.7,12.0
,"Chambers County, AL","01017",481,102708,468.3,426.5,510.2,21.4
,"Cherokee County, AL","01019",293,75964,385.7,341.5,429.9,22.5
,"Chilton County, AL","01021",608,137589,441.9,406.8,477.0,17.9
,"Choctaw County, AL","01023",226,37224,607.1,528.0,686.3,40.4
,"Clarke County, AL","01025",380,67612,562.0,505.5,618.5,28.8
,"Clay County, AL","01027",198,42499,465.9,401.0,530.8,33.1
,"Cleburne County, AL","01029",253,46088,548.9,481.3,616.6,34.5
,"Coffee County, AL","01031",608,164622,369.3,340.0,398.7,15.0
,"Colbert County, AL","01033",798,173868,459.0,427.1,490.8,16.2
,"Conecuh County, AL","01035",236,33708,700.1,610.8,789.5,45.6
,"Coosa County, AL","01037",150,30884,485.7,408.0,563.4,39.7
,"Covington County, AL","01039",607,113078,536.8,494.1,579.5,21.8
,"Crenshaw County, AL","01041",221,39209,563.6,489.3,638.0,37.9
,"Cullman County, AL","01043",1209,272177,444.2,419.2,469.2,12.8
,"Dale County, AL","01045",658,148757,442.3,408.5,476.1,17.2
,"Dallas County, AL","01047",628,110551,568.1,523.6,612.5,22.7
,"DeKalb County, AL","01049",943,216380,435.8,408.0,463.6,14.2
,"Elmore County, AL","01051",918,269308,340.9,318.8,362.9,11.3
,"Escambia County, AL","01053",589,109923,535.8,492.6,579.1,22.1
,"Etowah County, AL","01055",1449,309491,468.2,444.1,492.3,12.3
,"Fayette County, AL","01057",236,48233,489.3,426.9,551.7,31.9
,"Franklin County, AL","01059",406,95747,424.0,382.8,465.3,21.0
,"Geneva County, AL","01061",403,80472,500.8,451.9,549.7,24.9
,"Greene County, AL","01063",135,22392,602.9,501.2,704.6,51.9
,"Hale County, AL","01065",181,44237,409.2,349.6,468.8,30.4
,"Henry County, AL","01067",247,53013,465.9,407.8,524.0,29.6
,"Houston County, AL","01069",1425,323999,439.8,417.0,462.7,11.7
,"Jackson County, AL","01071",893,159131,561.2,524.4,598.0,18.8
,"Jefferson County, AL","01073",6977,1996124,349.5,341.3,357.7,4.2
,"Lamar County, AL","01075",180,41055,438.4,374.4,502.5,32.7
,"Lauderdale County, AL","01077",1196,286735,417.1,393.5,440.7,12.1
,"Lawrence County, AL","01079",455,99806,455.9,414.0,497.8,21.4
,"Lee County, AL","01081",1138,541206,210.3,198.1,222.5,6.2
,"Limestone County, AL","01083",1159,333071,348.0,327.9,368.0,10.2
,"Lowndes County, AL","01085",207,29459,702.7,606.9,798.4,48.8
,"Macon County, AL","01087",253,55781,453.6,397.7,509.4,28.5
,"Madison County, AL","01089",3792,1211376,313.0,303.1,323.0,5.1
,"Marengo County, AL","01091",206,56425,365.1,315.2,414.9,25.4
,"Marion County, AL","01093",418,87646,476.9,431.2,522.6,23.3
,"Marshall County, AL","01095",1268,298407,424.9,401.5,448.3,11.9
,"Mobile County, AL","01097",5217,1236124,422.0,410.6,433.5,5.8
,"Monroe County, AL","01099",301,58281,516.5,458.1,574.8,29.8
,"Montgomery County, AL","01101",2057,678775,303.0,289.9,316.1,6.7
,"Morgan County, AL","01103",1502,373012,402.7,382.3,423.0,10.4
,"Perry County, AL","01105",167,24128,692.1,587.2,797.1,53.6
,"Pickens County, AL","01107",266,56186,473.4,416.5,530.3,29.0
,"Pike County, AL","01109",352,99142,355.0,318.0,392.1,18.9
,"Randolph County, AL","01111",362,67254,538.3,482.8,593.7,28.3
,"Russell County, AL","01113",604,176021,343.1,315.8,370.5,14.0
,"St. Clair County, AL","01115",1043,282232,369.6,347.1,392.0,11.4
,"Shelby County, AL","01117",1766,690017,255.9,244.0,267.9,6.1
,"Sumter County, AL","01119",128,35744,358.1,296.1,420.1,31.7
,"Talladega County, AL","01121",1146,243360,470.9,443.6,498.2,13.9
,"Tallapoosa County, AL","01123",615,122677,501.3,461.7,540.9,20.2
,"Tuscaloosa County, AL","01125",1935,701160,276.0,263.7,288.3,6.3
,"Walker County, AL","01127",1353,193885,697.8,660.7,735.0,19.0
,"Washington County, AL","01129",239,45291,527.7,460.8,594.6,34.1
,"Wilcox County, AL","01131",205,30449,673.3,581.1,765.4,47.0
,"Winston County, AL","01133",403,71018,567.5,512.1,622.9,28.3
,"Aleutians East Borough, AK","02013",Suppressed,10257,Suppressed,Suppressed,Suppressed,Suppressed
,"Aleutians West Census Area, AK","02016",14,15341,91.3,49.9,153.1,24.4
,"Anchorage Borough, AK","02020",1534,861341,178.1,169.2,187.0,4.5
,"Bethel Census Area, AK","02050",97,55038,176.2,142.9,215.0,17.9
,"Bristol Bay Borough, AK","02060",Suppressed,2547,Suppressed,Suppressed,Suppressed,Suppressed
,"Denali Borough, AK","02068",Suppressed,4762,Suppressed,Suppressed,Suppressed,Suppressed
,"Dillingham Census Area, AK","02070",21,14102,148.9,92.2,227.6,32.5
,"Fairbanks North Star Borough, AK","02090",427,285789,149.4,135.2,163.6,7.2
,"Haines Borough, AK","02100",20,6197,322.7,197.1,498.4,72.2
,"Hoonah-Angoon Census Area, AK","02105",24,6881,348.8,223.5,519.0,71.2
,"Juneau Borough, AK","02110",162,95213,170.1,143.9,196.3,13.4
,"Kenai Peninsula Borough, AK","02122",394,181680,216.9,195.5,238.3,10.9
,"Ketchikan Gateway Borough, AK","02130",88,41233,213.4,171.2,262.9,22.8
,"Kodiak Island Borough, AK","02150",67,38072,176.0,136.4,223.5,21.5
,"Lake and Peninsula Borough, AK","02164",Suppressed,4128,Suppressed,Suppressed,Suppressed,Suppressed
,"Matanuska-Susitna Borough, AK","02170",596,339250,175.7,161.6,189.8,7.2
,"Nome Census Area, AK","02180",61,29463,207.0,158.4,266.0,26.5
,"North Slope Borough, AK","02185",52,32380,160.6,119.9,210.6,22.3
,"Northwest Arctic Borough, AK","02188",46,22344,205.9,150.7,274.6,30.4
,"Petersburg Borough/Census Area, AK","02195",18,10143,177.5,105.2,280.5,41.8
,"Prince of Wales-Hyder Census Area, AK","02198",54,17075,316.3,237.6,412.6,43.0
,"Sitka Borough, AK","02220",56,25071,223.4,168.7,290.1,29.8
,"Skagway Municipality, AK","02230",Suppressed,3308,Suppressed,Suppressed,Suppressed,Suppressed
,"Southeast Fairbanks Census Area, AK","02240",42,21068,199.4,143.7,269.5,30.8
,"Valdez-Cordova Census Area, AK","02261",51,28477,179.1,133.3,235.5,25.1
,"Wade Hampton Census Area, AK","02270",43,24639,174.5,126.3,235.1,26.6
,"Wrangell City and Borough, AK","02275",19,6189,307.0,184.8,479.4,70.4
,"Yakutat Borough, AK","02282",Suppressed,2091,Suppressed,Suppressed,Suppressed,Suppressed
,"Yukon-Koyukuk Census Area, AK","02290",37,15583,237.4,167.2,327.3,39.0
,"Apache County, AZ","04001",526,196091,268.2,245.3,291.2,11.7
,"Cochise County, AZ","04003",1332,376353,353.9,334.9,372.9,9.7
,"Coconino County, AZ","04005",635,433584,146.5,135.1,157.8,5.8
,"Gila County, AZ","04007",823,161514,509.6,474.7,544.4,17.8
,"Graham County, AZ","04009",304,117354,259.0,229.9,288.2,14.9
,"Greenlee County, AZ","04011",66,28075,235.1,181.8,299.1,28.9
,"La Paz County, AZ","04012",329,49624,663.0,591.3,734.6,36.6
,"Maricopa County, AZ","04013",32577,13633983,238.9,236.3,241.5,1.3
,"Mohave County, AZ","04015",3681,662190,555.9,537.9,573.8,9.2
,"Navajo County, AZ","04017",1033,325972,316.9,297.6,336.2,9.9
,"Pima County, AZ","04019",9230,3172789,290.9,285.0,296.8,3.0
,"Pinal County, AZ","04021",3683,1397950,263.5,254.9,272.0,4.3
,"Santa Cruz County, AZ","04023",307,145800,210.6,187.0,234.1,12.0
,"Yavapai County, AZ","04025",2997,737525,406.4,391.8,420.9,7.4
,"Yuma County, AZ","04027",1768,628053,281.5,268.4,294.6,6.7
,"Arkansas County, AR","05001",267,49541,538.9,474.3,603.6,33.0
,"Ashley County, AR","05003",304,55290,549.8,488.0,611.6,31.5
,"Baxter County, AR","05005",823,127454,645.7,601.6,689.8,22.5
,"Benton County, AR","05007",1755,907568,193.4,184.3,202.4,4.6
,"Boone County, AR","05009",598,114644,521.6,479.8,563.4,21.3
,"Bradley County, AR","05011",149,30647,486.2,408.1,564.2,39.8
,"Calhoun County, AR","05013",72,14077,511.5,400.2,644.1,60.3
,"Carroll County, AR","05015",313,85991,364.0,323.7,404.3,20.6
,"Chicot County, AR","05017",144,29430,489.3,409.4,569.2,40.8
,"Clark County, AR","05019",251,63845,393.1,344.5,441.8,24.8
,"Clay County, AR","05021",205,42816,478.8,413.2,544.3,33.4
,"Cleburne County, AR","05023",343,75744,452.8,404.9,500.8,24.5
,"Cleveland County, AR","05025",107,22359,478.6,387.9,569.2,46.3
,"Columbia County, AR","05027",258,67038,384.9,337.9,431.8,24.0
,"Conway County, AR","05029",294,62996,466.7,413.3,520.0,27.2
,"Craighead County, AR","05031",1061,339228,312.8,293.9,331.6,9.6
,"Crawford County, AR","05033",742,183344,404.7,375.6,433.8,14.9
,"Crittenden County, AR","05035",477,141725,336.6,306.4,366.8,15.4
,"Cross County, AR","05037",209,49702,420.5,363.5,477.5,29.1
,"Dallas County, AR","05039",90,18684,481.7,387.3,592.1,50.8
,"Desha County, AR","05041",151,32340,466.9,392.4,541.4,38.0
,"Drew County, AR","05043",210,50966,412.0,356.3,467.8,28.4
,"Faulkner County, AR","05045",1019,382722,266.3,249.9,282.6,8.3
,"Franklin County, AR","05047",255,51912,491.2,430.9,551.5,30.8
,"Fulton County, AR","05049",234,36948,633.3,552.2,714.5,41.4
,"Garland County, AR","05051",1435,300203,478.0,453.3,502.7,12.6
,"Grant County, AR","05053",213,54633,389.9,337.5,442.2,26.7
,"Greene County, AR","05055",442,139508,316.8,287.3,346.4,15.1
,"Hempstead County, AR","05057",289,58490,494.1,437.1,551.1,29.1
,"Hot Spring County, AR","05059",451,99609,452.8,411.0,494.6,21.3
,"Howard County, AR","05061",186,37788,492.2,421.5,563.0,36.1
,"Independence County, AR","05063",615,113988,539.5,496.9,582.2,21.8
,"Izard County, AR","05065",205,42128,486.6,420.0,553.2,34.0
,"Jackson County, AR","05067",192,50219,382.3,328.2,436.4,27.6
,"Jefferson County, AR","05069",877,193768,452.6,422.6,482.6,15.3
,"Johnson County, AR","05071",278,77975,356.5,314.6,398.4,21.4
,"Lafayette County, AR","05073",125,18359,680.9,561.5,800.2,60.9
,"Lawrence County, AR","05075",236,48815,483.5,421.8,545.1,31.5
,"Lee County, AR","05077",124,25184,492.4,405.7,579.0,44.2
,"Lincoln County, AR","05079",166,38851,427.3,362.3,492.3,33.2
,"Little River County, AR","05081",197,35570,553.8,476.5,631.2,39.5
,"Logan County, AR","05083",336,63868,526.1,469.8,582.3,28.7
,"Lonoke County, AR","05085",727,225891,321.8,298.4,345.2,11.9
,"Madison County, AR","05087",201,52221,384.9,331.7,438.1,27.1
,"Marion County, AR","05089",261,51746,504.4,443.2,565.6,31.2
,"Miller County, AR","05091",573,127616,449.0,412.2,485.8,18.8
,"Mississippi County, AR","05093",532,117220,453.8,415.3,492.4,19.7
,"Monroe County, AR","05095",104,19759,526.3,425.2,627.5,51.6
,"Montgomery County, AR","05097",141,25787,546.8,456.5,637.0,46.0
,"Nevada County, AR","05099",112,24488,457.4,372.7,542.1,43.2
,"Newton County, AR","05101",111,21353,519.8,423.1,616.5,49.3
,"Ouachita County, AR","05103",365,66148,551.8,495.2,608.4,28.9
,"Perry County, AR","05105",130,30211,430.3,356.3,504.3,37.7
,"Phillips County, AR","05107",164,46171,355.2,300.8,409.6,27.7
,"Pike County, AR","05109",152,30453,499.1,419.8,578.5,40.5
,"Poinsett County, AR","05111",326,67552,482.6,430.2,535.0,26.7
,"Polk County, AR","05113",357,58126,614.2,550.5,677.9,32.5
,"Pope County, AR","05115",618,192447,321.1,295.8,346.4,12.9
,"Prairie County, AR","05117",114,24240,470.3,384.0,556.6,44.0
,"Pulaski County, AR","05119",3634,1196975,303.6,293.7,313.5,5.0
,"Randolph County, AR","05121",230,56609,406.3,353.8,458.8,26.8
,"St. Francis County, AR","05123",304,67291,451.8,401.0,502.6,25.9
,"Saline County, AR","05125",1176,382164,307.7,290.1,325.3,9.0
