"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"GLM 0 -CA.(Intercept)",0.18655,0.02331,0.14083,0.1865,0.23257,0.1865,0
"GLM 0 -CA.scale(pct_65_older)",0.19824,0.02381,0.1515,0.1982,0.2452,0.1982,0
"GLM 1 -CA.(Intercept)",0.18058,0.01816,0.14493,0.18054,0.21646,0.18054,0
"GLM 1 -CA.scale(pct_65_older)",0.25184,0.02118,0.21019,0.25183,0.29359,0.25183,0
"GLM 1 -CA.scale(cle8_point)",-0.11891,0.02044,-0.15908,-0.11893,-0.0786,-0.11893,0
"ICAR 0 -CA.(Intercept)",0.17338,0.00363,0.16626,0.17338,0.1805,0.17338,0
"ICAR 0 -CA.scale(pct_65_older)",0.19033,0.02265,0.14569,0.19035,0.23486,0.19035,0
"ICAR 1 -CA.(Intercept)",0.17363,0.00354,0.16668,0.17363,0.18058,0.17363,0
"ICAR 1 -CA.scale(pct_65_older)",0.23053,0.0203,0.19041,0.23058,0.27032,0.23058,0
"ICAR 1 -CA.scale(cle8_point)",-0.10439,0.02062,-0.14499,-0.1044,-0.06378,-0.1044,0
"BYM 0 -CA.(Intercept)",0.17203,0.02175,0.12904,0.17204,0.21502,0.17206,0
"BYM 0 -CA.scale(pct_65_older)",0.19699,0.02387,0.1501,0.19696,0.24403,0.19696,0
"BYM 1 -CA.(Intercept)",0.17219,0.01759,0.13754,0.1722,0.20683,0.1722,0
"BYM 1 -CA.scale(pct_65_older)",0.24755,0.02082,0.20657,0.24756,0.28851,0.24756,0
"BYM 1 -CA.scale(cle8_point)",-0.11792,0.02062,-0.15845,-0.11794,-0.07729,-0.11794,0
"GLM 0 -GA.(Intercept)",0.28912,0.01478,0.26015,0.28911,0.31817,0.28911,0
"GLM 0 -GA.scale(pct_65_older)",0.18701,0.0162,0.15519,0.18702,0.21881,0.18702,0
"GLM 1 -GA.(Intercept)",0.28551,0.01178,0.26238,0.28551,0.30864,0.28551,0
"GLM 1 -GA.scale(pct_65_older)",0.17664,0.0127,0.15168,0.17665,0.20153,0.17665,0
"GLM 1 -GA.scale(cle8_point)",-0.11337,0.01213,-0.13714,-0.11339,-0.08949,-0.11339,0
"ICAR 0 -GA.(Intercept)",0.27225,0.00316,0.26605,0.27225,0.27844,0.27225,0
"ICAR 0 -GA.scale(pct_65_older)",0.18371,0.01485,0.15455,0.18371,0.21287,0.18371,0
"ICAR 1 -GA.(Intercept)",0.2753,0.00312,0.26918,0.2753,0.28142,0.2753,0
"ICAR 1 -GA.scale(pct_65_older)",0.17833,0.01155,0.15564,0.17834,0.20098,0.17834,0
"ICAR 1 -GA.scale(cle8_point)",-0.12088,0.01183,-0.14404,-0.1209,-0.09758,-0.1209,0
"BYM 0 -GA.(Intercept)",0.2727,0.01464,0.24397,0.2727,0.30146,0.2727,0
"BYM 0 -GA.scale(pct_65_older)",0.18871,0.01528,0.15871,0.18871,0.2187,0.18871,0
"BYM 1 -GA.(Intercept)",0.27558,0.01166,0.25265,0.27559,0.29846,0.27559,0
"BYM 1 -GA.scale(pct_65_older)",0.17912,0.01217,0.1552,0.17913,0.203,0.17913,0
"BYM 1 -GA.scale(cle8_point)",-0.11401,0.01203,-0.13756,-0.11403,-0.09033,-0.11403,0
"GLM 0 -TX.(Intercept)",0.41883,0.01203,0.39525,0.41881,0.44248,0.41881,0
"GLM 0 -TX.scale(pct_65_older)",0.2372,0.01281,0.21203,0.23721,0.26231,0.23721,0
"GLM 1 -TX.(Intercept)",0.41388,0.01043,0.39344,0.41386,0.4344,0.41386,0
"GLM 1 -TX.scale(pct_65_older)",0.26125,0.0114,0.23883,0.26126,0.28356,0.26126,0
"GLM 1 -TX.scale(cle8_point)",-0.09749,0.01107,-0.11916,-0.09752,-0.07571,-0.09752,0
"ICAR 0 -TX.(Intercept)",0.40311,0.00344,0.39636,0.40311,0.40986,0.40311,0
"ICAR 0 -TX.scale(pct_65_older)",0.23744,0.01238,0.21306,0.23747,0.26163,0.23747,0
"ICAR 1 -TX.(Intercept)",0.40248,0.00339,0.39584,0.40248,0.40912,0.40248,0
"ICAR 1 -TX.scale(pct_65_older)",0.25538,0.01111,0.23345,0.25542,0.27704,0.25542,0
"ICAR 1 -TX.scale(cle8_point)",-0.08962,0.01115,-0.11142,-0.08964,-0.06766,-0.08964,0
"BYM 0 -TX.(Intercept)",0.40242,0.01204,0.3788,0.40241,0.42605,0.40241,0
"BYM 0 -TX.scale(pct_65_older)",0.23688,0.01249,0.21232,0.23689,0.26134,0.23689,0
"BYM 1 -TX.(Intercept)",0.40193,0.01044,0.38145,0.40193,0.42243,0.40193,0
"BYM 1 -TX.scale(pct_65_older)",0.25836,0.01102,0.23667,0.25839,0.27991,0.25839,0
"BYM 1 -TX.scale(cle8_point)",-0.09807,0.011,-0.11959,-0.09809,-0.07643,-0.09809,0
