"","DIC","pD","WAIC","pWAIC","Log Marginal Likelihood.log marginal-likelihood (Gaussian)","Sum CPO"
"BYM 0 -CA",717.465026928145,56.7225670142066,703.365382931253,30.7027626960578,-455.875895342793,0.0738112541597034
"ICAR 0 -CA",717.889619268736,56.5883692266,704.802825877418,31.2864517820298,-534.622841363983,0.0794473762961966
"BYM 1 -CA",719.452725545356,56.0832904980468,707.932789869392,32.149134539129,-450.260693401212,0.0688181416690022
"ICAR 1 -CA",719.645084692376,56.0765349100234,709.117212337538,32.7610910254111,-531.086230569226,0.0703765998542967
"GLM 1 -CA",931.068617308628,4.01386240428303,932.03363063676,4.59950792598471,-481.765836994277,0.0526369773887453
"GLM 0 -CA",956.546228346989,2.99941468637974,956.217966214627,2.54915284720386,-487.754557767584,0.0509094583698074
"BYM 0 -GA",1705.0402667344,152.215054926604,1661.88550699842,78.7887864474989,-979.669911809745,0.428139098092939
"ICAR 0 -GA",1705.99490248403,152.168107972715,1664.319641967,79.7527907695749,-1218.50622786387,0.424087214125039
"BYM 1 -GA",1706.06475398231,148.606070288856,1670.6466358686,81.756584356665,-952.421591629313,0.458261791352429
"ICAR 1 -GA",1706.40335171244,148.18390746505,1672.73945083302,82.6383041340904,-1186.59843586405,0.459457824594252
"GLM 1 -GA",2056.75403690627,4.00035133993606,2057.70597792574,4.7711315861772,-1046.47348441125,0.444314992296199
"GLM 0 -GA",2124.39429320229,2.99619584211041,2125.08596096705,3.55929832065961,-1073.03050741263,0.380161000717258
"BYM 0 -TX",2613.03312500272,231.770362492743,2551.80993129312,123.560719158593,-1489.1495976906,1.16479387717646
"BYM 1 -TX",2614.72096393813,226.34740693072,2564.39746981769,127.578002300934,-1463.21094219267,1.27830161145844
"ICAR 0 -TX",2619.69035294915,231.551724067717,2565.4575690774,128.329834246484,-1853.07463996429,1.13934857540553
"ICAR 1 -TX",2624.77383794593,227.00456383338,2582.54492668423,133.791270105899,-1832.8092967384,1.22009733377416
"GLM 1 -TX",3156.40932693933,3.99794528016855,3158.76093547709,6.1042745158105,-1596.84714187014,1.27273430902657
"GLM 0 -TX",3221.36698109866,2.99523429327292,3222.47091113919,3.98562468612663,-1622.15327444482,1.17291750467614
