"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"GLM 0 -CA",5.6551724137931,0.0876642035026684,5.48267372502361,5.6551724137931,5.82767110256259,5.6551724137931,2.17223353640407e-08
"GLM 1 -CA.(Intercept)",5.6551724137931,0.0494794363601068,5.5578049893879,5.6551724137931,5.75253983819831,5.6551724137931,2.23433495964969e-08
"GLM 1 -CA.scale(cle8_point)",-0.555280638320188,0.0499115149403781,-0.653498252261857,-0.555280662156096,-0.457062887051035,-0.555280661445317,2.23440573235325e-08
"ICAR 0 -CA",5.6551724137931,0.0874903816001641,5.48311141979198,5.6551724137931,5.82723340779422,5.6551724137931,1.63652266109253e-08
"ICAR 1 -CA.(Intercept)",5.6551724137931,0.0493752267590896,5.55806419271431,5.6551724137931,5.75228063487189,5.6551724137931,1.68639735167336e-08
"ICAR 1 -CA.scale(cle8_point)",-0.555196147240789,0.0498365880154124,-0.653213680710179,-0.555195152260876,-0.457184230802675,-0.555195159880917,1.67868920118312e-08
"BYM 0 -CA",5.65517241379434,0.0793913034960155,5.49849723063071,5.65517241379375,5.81184759696178,5.65517241379388,4.93181930460209e-08
"BYM 1 -CA.(Intercept)",5.65517241379051,0.0451994364163785,5.56577791035075,5.65517241379067,5.74456691722954,5.65517241379069,7.20025878408255e-08
"BYM 1 -CA.scale(cle8_point)",-0.558054976397808,0.0508952545604256,-0.658230062939208,-0.558055971030125,-0.457881618186885,-0.558057107192628,2.22453179574025e-08
"GLM 0 -GA",6.64465408805032,0.06098714291868,6.52490900167641,6.64465408805032,6.76439917442422,6.64465408805032,3.1708869506673e-09
"GLM 1 -GA.(Intercept)",6.64465408805031,0.0342592984163439,6.57738718993833,6.64465408805031,6.7119209861623,6.64465408805031,3.2163021722148e-09
"GLM 1 -GA.scale(cle8_point)",-0.637939403782972,0.0343675223567584,-0.705418782028985,-0.637939408493848,-0.570459998599672,-0.637939408455945,3.21383231456645e-09
"ICAR 0 -GA",6.64465408805032,0.0609628930516728,6.52497940817263,6.64465408805032,6.764328767928,6.64465408805031,2.36797004620547e-09
"ICAR 1 -GA.(Intercept)",6.64465408805031,0.0342386588594599,6.57744056361027,6.64465408805031,6.71186761249036,6.64465408805031,2.40337307373382e-09
"ICAR 1 -GA.scale(cle8_point)",-0.637900982741235,0.0343550717183282,-0.705343467500229,-0.637900801151484,-0.570459531006519,-0.637900801988527,2.39783675470758e-09
"BYM 0 -GA",6.64465408805032,0.0610491818941352,6.52473369546963,6.64465408805032,6.764574480631,6.64465408805032,5.29418226912528e-09
"BYM 1 -GA.(Intercept)",6.64465408804814,0.0329708016866356,6.57987244837144,6.64465408804751,6.70943572772865,6.64465408804758,6.5221080713422e-09
"BYM 1 -GA.scale(cle8_point)",-0.63541344512442,0.0343123313944736,-0.702795553905316,-0.635410629960942,-0.568045982340061,-0.635410264191019,3.27159287783605e-09
"GLM 0 -TX",6.82047244094489,0.0482237158831176,6.72583321620313,6.82047244094489,6.91511166568665,6.82047244094489,1.11144076657654e-09
"GLM 1 -TX.(Intercept)",6.82047244094488,0.0235228276944556,6.77430865427192,6.82047244094488,6.86663622761783,6.82047244094488,1.11723604795575e-09
"GLM 1 -TX.scale(cle8_point)",-0.671856296612527,0.0235692630512076,-0.718111208935238,-0.671856298071444,-0.625601375960631,-0.671856298066666,1.12023303400064e-09
"ICAR 0 -TX",6.82047244094488,0.0482005244981253,6.72588981334613,6.82047244094488,6.91505506854362,6.82047244094488,7.88310926290038e-10
"ICAR 1 -TX.(Intercept)",6.82047244094489,0.023506730101936,6.77434561905608,6.82047244094489,6.8665992628337,6.82047244094489,7.97277908086476e-10
"ICAR 1 -TX.scale(cle8_point)",-0.67188531920454,0.0235652758946081,-0.71812681560479,-0.671885365936522,-0.62564355493189,-0.671885365231399,7.94145936645112e-10
"BYM 0 -TX",6.82047244094489,0.0482163220729076,6.72582457874096,6.82047244094489,6.91512030314882,6.82047244094489,1.8384689267988e-09
"BYM 1 -TX.(Intercept)",6.82047244097513,0.0227211818271468,6.77586103089156,6.82047244097559,6.86508385105586,6.82047244097553,2.62896009894256e-09
"BYM 1 -TX.scale(cle8_point)",-0.671428071521251,0.0235713615667865,-0.717704386684271,-0.671422437928907,-0.625183574410102,-0.67142235077523,1.15330520626989e-09
