"","DIC","pD","WAIC","pWAIC","Log Marginal Likelihood.log marginal-likelihood (Gaussian)","Sum CPO"
"BYM 0 -CA",-327.257495679964,70.1203447743172,-338.480773976938,45.9285410720424,-30.946297934947,403.296771638389
"BYM 1 -CA",-326.679393188535,70.0874016446955,-337.400638018705,46.3641712017835,-3.60435142994426,407.865297646503
"ICAR 1 -CA",55.4083120435639,2.89162003165008,55.126955759304,2.49053943438185,-79.0690259551063,41.2969580912757
"GLM 1 -CA",55.7474216756041,2.99469833602024,55.4073302429256,2.53236580060421,-42.134589734497,41.2371439269122
"ICAR 0 -CA",120.797754076549,1.85637507488994,120.717644269421,1.7121136082617,-106.875565105929,23.7487946452249
"GLM 0 -CA",121.101934443069,1.98474401119176,120.989870730881,1.80250448425901,-69.936758688845,23.7121714031765
"BYM 1 -GA",-896.696340258936,195.215214196284,-930.50062713365,125.769465570332,-7.85266084301293,1126.78470591297
"ICAR 1 -GA",188.393238659962,2.9162281933213,188.469724926178,2.92740702770557,-225.207863130521,103.049121802924
"GLM 1 -GA",188.682661523627,2.99447699051225,188.727699649687,2.97091585206389,-110.120581832394,103.013459424201
"BYM 0 -GA",369.356794113859,18.5289212784647,370.003613046526,18.2423697418178,-98.7902424662977,58.3966417837009
"ICAR 0 -GA",370.791971287293,1.87188922603633,370.894338480277,1.94227639045673,-311.154469886503,58.9054733242019
"GLM 0 -GA",371.08112240567,1.99081744590148,371.192499386984,2.06457540799537,-196.0733958464,58.8860087183615
"BYM 1 -TX",-1435.22551234558,307.818392189396,-1486.39469360688,199.989369051068,16.4448824265852,1802.50560224588
"ICAR 1 -TX",226.439891294688,2.985324002478,229.542240604403,5.89630853613241,-322.36553953442,201.195654442445
"GLM 1 -TX",226.784203941817,2.99443002301282,230.38923783127,6.20347204239852,-129.875355895083,201.153622189139
"BYM 0 -TX",588.966579598146,27.3716763067144,587.999881349222,27.5243645566336,-164.829698219591,96.689190509567
"ICAR 0 -TX",590.152783736417,1.8841430510297,591.035918950254,2.72046784832713,-498.723605616417,97.3898153445402
"GLM 0 -TX",590.472011233879,1.99213962014483,591.499426577084,2.94293338565518,-306.23611133975,97.3599612060401
