"","DIC","pD","WAIC","pWAIC","Log Marginal Likelihood.log marginal-likelihood (Gaussian)","Sum CPO"
"BYM 0 -CA",644.076142052089,53.8131075362493,634.987856708662,32.3205291038552,-379.606263567136,0.254850285437157
"BYM 1 -CA",644.454050722843,53.1788446235994,636.456392057578,32.6917000572143,-381.032642970643,0.262186523912105
"ICAR 0 -CA",647.662498640365,53.5535881376516,641.642331034742,34.4288428022632,-461.272664952177,0.257611657553296
"ICAR 1 -CA",648.044775802246,53.02832004186,643.000237313386,34.7802143891947,-463.307029508514,0.261348971688632
"GLM 1 -CA",791.26364814208,4.00878045037894,792.081006506954,4.51334498671513,-411.625307887106,0.253501847975645
"GLM 0 -CA",801.630597371767,2.99929980589116,801.952576404815,3.16865709373815,-410.3436954993,0.242715351679677
"BYM 1 -GA",1491.27177936391,134.348480028326,1462.97183890697,77.3242011995479,-775.407075452728,1.21373296367696
"ICAR 1 -GA",1493.57364056745,132.612023033461,1470.75709488784,80.0067947110872,-1005.87676985221,1.22890929857439
"BYM 0 -GA",1493.60940753312,142.190696713029,1456.36991616987,76.1573084032345,-800.635666394874,1.04190285452897
"ICAR 0 -GA",1496.56452985422,141.33239755882,1464.70792864026,79.2883339133801,-1034.95872590283,1.05204098945869
"GLM 1 -GA",1706.47692339327,3.99890387384585,1706.79647046587,4.17382637901491,-870.793451326261,1.29742679564905
"GLM 0 -GA",1768.88260502564,2.99486656428849,1769.52535105941,3.50804926561468,-894.968058909374,1.13252070698266
"BYM 0 -TX",2243.26332179318,210.967263577176,2191.34043109135,115.766130125516,-1212.60080531465,2.49377530608457
"BYM 1 -TX",2245.51077013843,203.144252345218,2205.38845167102,119.058292837002,-1193.78902223822,2.73791534392629
"ICAR 0 -TX",2248.63592984534,210.882792996641,2202.47584332848,119.760789990482,-1563.99312879986,2.41730290509881
"ICAR 1 -TX",2252.62657239029,202.620569636767,2219.59118025397,123.771706035895,-1542.74600653273,2.65278073763461
"GLM 1 -TX",2615.42407542267,3.99601076532599,2616.92020495996,5.32186164855542,-1325.57743988663,2.94761374679444
"GLM 0 -TX",2663.70744412517,2.99361594598895,2664.36742879243,3.56335723717862,-1342.87518462458,2.79015640788187
