"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"GLM 0 -CA.(Intercept)",0.12823,0.02143,0.08604,0.12823,0.17043,0.12823,0
"GLM 0 -CA.scale(pct_65_older)",0.20865,0.02236,0.16471,0.20862,0.25272,0.20862,0
"GLM 1 -CA.(Intercept)",0.12836,0.01921,0.09039,0.12841,0.16606,0.12841,0
"GLM 1 -CA.scale(pct_65_older)",0.24508,0.02276,0.20026,0.24509,0.28987,0.24509,0
"GLM 1 -CA.scale(cle8_point)",-0.07691,0.0214,-0.11916,-0.07688,-0.03484,-0.07688,0
"ICAR 0 -CA.(Intercept)",0.11969,0.00622,0.10744,0.11971,0.13182,0.11971,0
"ICAR 0 -CA.scale(pct_65_older)",0.19958,0.02225,0.15545,0.19969,0.24306,0.19969,0
"ICAR 1 -CA.(Intercept)",0.12138,0.00613,0.10927,0.12141,0.13333,0.12141,0
"ICAR 1 -CA.scale(pct_65_older)",0.23012,0.0223,0.18582,0.23026,0.27361,0.23026,0
"ICAR 1 -CA.scale(cle8_point)",-0.0723,0.0219,-0.11568,-0.07222,-0.0294,-0.07222,0
"BYM 0 -CA.(Intercept)",0.11709,0.0208,0.07593,0.11715,0.15787,0.11716,0
"BYM 0 -CA.scale(pct_65_older)",0.20693,0.02251,0.16264,0.20693,0.2512,0.20693,0
"BYM 1 -CA.(Intercept)",0.11964,0.01883,0.08227,0.11975,0.15642,0.11975,0
"BYM 1 -CA.scale(pct_65_older)",0.24262,0.02267,0.19793,0.24265,0.28712,0.24265,0
"BYM 1 -CA.scale(cle8_point)",-0.0769,0.02174,-0.11982,-0.07686,-0.03424,-0.07686,0
"GLM 0 -GA.(Intercept)",0.30621,0.01707,0.27281,0.30617,0.33982,0.30617,0
"GLM 0 -GA.scale(pct_65_older)",0.21285,0.01877,0.17601,0.21285,0.24972,0.21285,0
"GLM 1 -GA.(Intercept)",0.30502,0.01374,0.27806,0.30501,0.33201,0.30501,0
"GLM 1 -GA.scale(pct_65_older)",0.19982,0.01481,0.17071,0.19983,0.22889,0.19983,0
"GLM 1 -GA.scale(cle8_point)",-0.12803,0.01424,-0.15587,-0.12808,-0.09994,-0.12808,0
"ICAR 0 -GA.(Intercept)",0.28441,0.0057,0.27324,0.28441,0.2956,0.28441,0
"ICAR 0 -GA.scale(pct_65_older)",0.21048,0.01676,0.17759,0.21048,0.24339,0.21048,0
"ICAR 1 -GA.(Intercept)",0.29219,0.00559,0.28123,0.2922,0.30315,0.2922,0
"ICAR 1 -GA.scale(pct_65_older)",0.20483,0.01324,0.17882,0.20484,0.23081,0.20484,0
"ICAR 1 -GA.scale(cle8_point)",-0.13144,0.01342,-0.15767,-0.13148,-0.10496,-0.13148,0
"BYM 0 -GA.(Intercept)",0.28577,0.01667,0.25308,0.28576,0.31854,0.28576,0
"BYM 0 -GA.scale(pct_65_older)",0.21226,0.01766,0.17759,0.21226,0.24692,0.21226,0
"BYM 1 -GA.(Intercept)",0.29286,0.01347,0.26636,0.29288,0.31926,0.29288,0
"BYM 1 -GA.scale(pct_65_older)",0.20197,0.01422,0.17404,0.20198,0.22985,0.20198,0
"BYM 1 -GA.scale(cle8_point)",-0.12834,0.01399,-0.15567,-0.12838,-0.10075,-0.12838,0
"GLM 0 -TX.(Intercept)",0.44973,0.01495,0.42045,0.44971,0.47912,0.44971,0
"GLM 0 -TX.scale(pct_65_older)",0.27684,0.0162,0.24497,0.27687,0.30856,0.27687,0
"GLM 1 -TX.(Intercept)",0.44671,0.01326,0.42072,0.4467,0.47277,0.4467,0
"GLM 1 -TX.scale(pct_65_older)",0.303,0.01467,0.2741,0.30304,0.33169,0.30304,0
"GLM 1 -TX.scale(cle8_point)",-0.10696,0.01413,-0.13457,-0.107,-0.07911,-0.107,0
"ICAR 0 -TX.(Intercept)",0.42547,0.00588,0.41394,0.42547,0.437,0.42547,0
"ICAR 0 -TX.scale(pct_65_older)",0.27558,0.01547,0.24512,0.27562,0.30585,0.27562,0
"ICAR 1 -TX.(Intercept)",0.42851,0.00573,0.41728,0.42852,0.43974,0.42852,0
"ICAR 1 -TX.scale(pct_65_older)",0.30319,0.01384,0.27587,0.30324,0.33021,0.30324,0
"ICAR 1 -TX.scale(cle8_point)",-0.11227,0.01361,-0.13883,-0.11233,-0.08542,-0.11233,0
"BYM 0 -TX.(Intercept)",0.42606,0.01507,0.3965,0.42606,0.45563,0.42606,0
"BYM 0 -TX.scale(pct_65_older)",0.27573,0.01564,0.24496,0.27577,0.30632,0.27577,0
"BYM 1 -TX.(Intercept)",0.42893,0.01321,0.40299,0.42894,0.45482,0.42894,0
"BYM 1 -TX.scale(pct_65_older)",0.30055,0.01406,0.27283,0.3006,0.32801,0.3006,0
"BYM 1 -TX.scale(cle8_point)",-0.10881,0.01386,-0.13588,-0.10886,-0.0815,-0.10886,0
