"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"GLM 0 -CA",3.08275862068966,0.0571757004450324,2.97025279986214,3.08275862068966,3.19526444151717,3.08275862068966,2.1722414659579e-08
"GLM 1 -CA.(Intercept)",3.08275862068965,0.0238184171512041,3.03588787218823,3.08275862068965,3.12962936919108,3.08275862068966,2.23433401625285e-08
"GLM 1 -CA.scale(cle8_point)",-0.397960370300979,0.0240264350231424,-0.445240452357227,-0.397960374259386,-0.350680265439389,-0.397960374141486,2.23435484040743e-08
"ICAR 0 -CA",3.08275862068966,0.0570578157655385,2.97054658153543,3.08275862068966,3.19497065984388,3.08275862068966,1.63926147768114e-08
"ICAR 1 -CA.(Intercept)",3.08275862068965,0.0237417508709055,3.03606394263681,3.08275862068965,3.1294532987425,3.08275862068965,1.70214032557648e-08
"ICAR 1 -CA.scale(cle8_point)",-0.397883580224031,0.0240011396841147,-0.445088477453438,-0.397883063134919,-0.350681596912469,-0.397883069298549,1.67716087094298e-08
"BYM 0 -CA",3.08275862068929,0.0516319664064295,2.98079065241541,3.08275862068907,3.1847265889646,3.08275862068912,5.80084710433978e-08
"BYM 1 -CA.(Intercept)",3.08275862069005,0.0224404578429515,3.03842585581978,3.08275862069,3.12709138556064,3.08275862069,5.81877693914306e-08
"BYM 1 -CA.scale(cle8_point)",-0.399186646385427,0.0248188122526196,-0.448062821500198,-0.399179971480341,-0.350353710852945,-0.399180871117075,2.36689014903999e-08
"GLM 0 -GA",3.97232704402516,0.0572691312521433,3.85988207870427,3.97232704402516,4.08477200934605,3.97232704402516,3.17091603298789e-09
"GLM 1 -GA.(Intercept)",3.97232704402516,0.0190581903454291,3.93490697941366,3.97232704402516,4.00974710863665,3.97232704402516,3.21456428563997e-09
"GLM 1 -GA.scale(cle8_point)",-0.682080576048191,0.019118402407688,-0.719618860364615,-0.682080577607092,-0.644542282817171,-0.682080577594369,3.21534553352943e-09
"ICAR 0 -GA",3.97232704402516,0.0572403321785207,3.85996006786435,3.97232704402516,4.08469402018596,3.97232704402516,2.36677063209889e-09
"ICAR 1 -GA.(Intercept)",3.97232704402516,0.0190348273185487,3.93495973563762,3.97232704402516,4.00969435241269,3.97232704402515,2.43061659463265e-09
"ICAR 1 -GA.scale(cle8_point)",-0.682003158319604,0.0191118375861383,-0.719522505455879,-0.682002756117626,-0.644486092892107,-0.682002756164685,2.39712265948853e-09
"BYM 0 -GA",3.97232704402516,0.0572951951872861,3.85977987376333,3.97232704402516,4.08487421428699,3.97232704402516,5.38494771673272e-09
"BYM 1 -GA.(Intercept)",3.97232704402165,0.0170513992696889,3.93871063509026,3.97232704402176,4.00594345295252,3.97232704402177,3.41129368299387e-08
"BYM 1 -GA.scale(cle8_point)",-0.677206907609194,0.0189844432346292,-0.714582834997834,-0.677169241219564,-0.640040026769876,-0.677167840176053,3.26178101989574e-09
"GLM 0 -TX",3.48976377952756,0.0331429326663113,3.42472064678114,3.48976377952756,3.55480691227399,3.48976377952756,1.10980114524938e-09
"GLM 1 -TX.(Intercept)",3.48976377952756,0.0152607269185813,3.45981445147909,3.48976377952756,3.51971310757603,3.48976377952756,1.12508758106283e-09
"GLM 1 -TX.scale(cle8_point)",-0.469467711159561,0.015290854912852,-0.499476164459399,-0.469467711588679,-0.439459255409674,-0.46946771158723,1.12080675711718e-09
"ICAR 0 -TX",3.48976377952756,0.0331228844212456,3.42476759305422,3.48976377952756,3.55475996600089,3.48976377952756,7.88929074785414e-10
"ICAR 1 -TX.(Intercept)",3.48976377952756,0.0152246409699975,3.4598883467345,3.48976377952756,3.51963921232061,3.48976377952756,8.33446803972805e-10
"ICAR 1 -TX.scale(cle8_point)",-0.469664637097586,0.0152863495259866,-0.499659718801452,-0.469664982709221,-0.439667583965132,-0.469664980387275,7.9225400942252e-10
"BYM 0 -TX",3.4897637795195,0.0322162448711971,3.42652118008234,3.48976377951907,3.55300637895905,3.48976377951906,1.97303504153326e-09
"BYM 1 -TX.(Intercept)",3.48976377953314,0.0145233185940784,3.46124485142915,3.48976377953304,3.51828270763766,3.48976377953301,3.1477777667012e-09
"BYM 1 -TX.scale(cle8_point)",-0.469976429032728,0.0152269809404225,-0.499878970346235,-0.469969807442645,-0.440111418304048,-0.469969743287455,1.15812229602066e-09
