"","DIC","pD","WAIC","pWAIC","Log Marginal Likelihood.log marginal-likelihood (Gaussian)","Sum CPO"
"BYM 0 -CA",-327.502442430025,70.1418156913433,-338.89377239126,45.7977561681983,-5.96377496024961,410.091285393944
"BYM 1 -CA",-327.122722163197,71.1496080906342,-339.121761101308,46.1261383014568,37.1048645832067,421.381722520095
"ICAR 1 -CA",-29.4127569546492,3.0040953487723,-29.3904006203882,2.86297792962928,-36.6637769225788,88.1637532738688
"GLM 1 -CA",-29.0659800084037,2.9946654671115,-29.0993676722329,2.80290607011009,0.271017839439789,88.0314150227167
"ICAR 0 -CA",71.2029722982202,1.87318962269441,71.1207643490313,1.72587327024874,-81.6575577612244,36.3466424228456
"GLM 0 -CA",71.5255105241954,1.98473589627214,71.3946448073406,1.78534776236727,-44.7213521386546,36.2897087512816
"BYM 1 -GA",-895.994935822447,191.828555493754,-924.993614558612,127.202090606861,85.6096109064842,1129.15193552564
"ICAR 1 -GA",1.76890375723014,3.03189675523971,3.68239221684231,4.79985517053118,-131.966195992473,191.892103453343
"GLM 1 -GA",2.21801536279443,2.99452533730578,4.2821889669178,4.77901188818712,-16.8890547056918,191.803002165713
"BYM 0 -GA",349.430780840557,19.1793173489028,349.963690304129,18.8594915649578,-88.7550447184136,61.3015265738993
"ICAR 0 -GA",350.786358389147,1.87423134373705,350.889330361633,1.94322194798876,-301.094578141161,61.857672842653
"GLM 0 -GA",351.07554601321,1.99082939922522,351.18866813959,2.06066137220746,-186.007725126802,61.8344118581617
"BYM 1 -TX",-1435.36872064971,305.830872973532,-1484.07514203601,200.406774228511,126.872747371218,1823.13455658325
"BYM 0 -TX",-1435.15094874983,306.79927249031,-1485.34330130756,199.899323275119,-64.1268277691991,1782.24593146909
"ICAR 1 -TX",6.12848015866593,3.44080614815087,9.29423418915314,6.43828952183603,-212.425986698859,306.106859646267
"GLM 1 -TX",7.02048994882363,2.99446770466623,10.4344938511555,6.02633923451013,-19.9939978365428,305.805512184773
"ICAR 0 -TX",399.625649782986,1.91961529759823,400.30719332366,2.5599257997345,-403.08866942442,139.794697242594
"GLM 0 -TX",399.945425730572,1.99217773190782,400.71613302695,2.69901913025545,-210.597805223482,139.750774401864
